Status	Score
Identified children	35
Identified children	40
Identified children	12
Identified children	15
Identified children	21
Identified children	14
Identified children	46
Identified children	10
Identified children	28
Identified children	48
Identified children	16
Identified children	30
Identified children	32
Identified children	48
Identified children	31
Identified children	22
Identified children	12
Identified children	39
Identified children	19
Identified children	25
Not identified children	2
Not identified children	27
Not identified children	38
Not identified children	31
Not identified children	1
Not identified children	19
Not identified children	1
Not identified children	34
Not identified children	3
Not identified children	1
Not identified children	2
Not identified children	3
Not identified children	2
Not identified children	1
Not identified children	2
Not identified children	1
Not identified children	3
Not identified children	29
Not identified children	37
Not identified children	2
